name,place_id
Stripes,ChIJeWE_En3lV4YRWJpJV03izQA
Sunoco,ChIJjTPabH3lV4YRtKaRBEk_MpE
Sunoco,ChIJCUIEPz_mV4YRoQ0bsOknzIg
Sunoco,ChIJLWRQNcvoV4YRQZDfIZWNaSU
Sunoco,ChIJ62oVAgnmV4YRcx4DTOTZZDU
Sunoco,ChIJZflU-grlV4YRJIJ7aelVeMc
Sunoco,ChIJR2dPT4rlV4YR_5Xl23kzsqQ
Sunoco,ChIJg4XcUoTlV4YRneDv7RcAtaA
Chevron,ChIJW_sVOhMQQYYRsAQzaQXUcJ0
Handy Stop,ChIJlWesweHnQIYR2qkMU0HG2iY
Gulf,ChIJBWRUhum_QIYRldFwjdcJ-MA
MHC Truck Leasing - South Dallas,ChIJu4macVSXToYRIu-RtP4nQfI
Oasis,ChIJw5D0FL1cP4YR9rP-dfnJpLQ
Originator VR Arcade,ChIJ_a2kNcm1RIYRsijx5ZMy0-I
Esports Arena,ChIJPT5ODvkzW4YRyuVv_tQ0xgc
Quasars Arcade,ChIJsVYxnj_1aIYRBlFD3viUZB0
Redbox,ChIJ0UZTl0QhQYYR_clBqQXRD-k
Redbox,ChIJyZ58QjUnQYYRvfM1ABg3Dh4
Valley Game Box Game Bus,ChIJ5xOCFpG9b4YR54P_EN2Wpv4
Redbox,ChIJYa5QDp6DRoYRi-FJarQ2pRY
Redbox,ChIJcRdFPbWaRoYRK3Lql-0uI_I
Redbox,ChIJ92rcyJWDRoYR2Rt3U82AGH4
Redbox,ChIJk0HXxmKERoYRYczI34b9nFg
Redbox,ChIJudaMi36BRoYRkbFcebVQdko
Redbox,ChIJk0HXxmKERoYRifsO5Y9RV4o
Redbox,ChIJuX4cnFGVRoYRdAtKwKClxgY
Redbox,ChIJRdwnJCUGR4YRP2f5cblV7Tk
Redbox,ChIJk5Djx2o3R4YRiYheRAqaMR8
Redbox,ChIJrfabv29URIYR14s3McRV4Tg
Redbox,ChIJQUdvADEDRIYRKGF59XagutY
Redbox,ChIJU3JdG_RvRIYRDxvYtTFVZ-U
Redbox,ChIJ2_mbMQIjR4YRUjRSm7s8efc
Redbox,ChIJ_-5c_H86R4YRU2woVYrubbY
Redbox,ChIJa7RbC1WORYYR2mkRvppBvcQ
The Game Preserve,ChIJwVxX_ig0R4YRbr7qdO3QT2s
Redbox,ChIJidcUuS1KRYYRGVihSzlB414
Redbox,ChIJUQiidcpMRYYR7VeHCkopuh0
Redbox,ChIJA6MX9XZMRYYRntQ44X11EgM
Redbox,ChIJ068ZM7y0WoYRBl2r0KQvQOQ
The Game Preserve NASA,ChIJQZdTwtGdQIYRcQMEAJ660RQ
Redbox,ChIJ6YJjdMUdQYYRbH5ZL42R6hc
Redbox,ChIJQUdvADEDRIYRwPVo0hfg1cU
Redbox,ChIJAx715iHKRoYRNi0kO-U4koQ
Redbox,ChIJ-wNVNu-1RoYRp7-ufvxQjjQ
Redbox,ChIJsyOU8vmBRoYRsUc4fF56IZk
Redbox,ChIJcbK-TQ7vQ4YRBW3QRYHWR4k
Redbox,ChIJxVwnzpCUQ4YRik-Fprg0BIk
Redbox,ChIJGx2cFEmXQ4YR1CRDRy3zPsE
Arcade,ChIJkXOHvv1iP4YRQqC_yL96fes
Schulman's Movie Bowl Grille - Bay City,ChIJiTuWdvK5QYYRwPYN_4gnqyM
