name,place_id
Callahan Court Memory Care,ChIJoQEyQa4ixFQR03sjnHK2HJQ
City of Roseburg,ChIJ_3A3CSYjxFQRgTfAIjIaQCw
Atkinsonville Apartments ...and Storage,ChIJ-U-T4JEixFQRGh2_rTtBFZE
County Sheriff Civil Division,ChIJE7VP5CUjxFQRoftpBVwDjdI
Roseburg Public Works Department,ChIJ_3A3CSYjxFQRZAAD0qdJmq8
Douglas County Building Department,ChIJE7VP5CUjxFQRQju6ONOwnTw
Sutherlin Municipal Court,ChIJva__PYGnxlQR28EmTnyb66w
Hadco,chijh0v72sg9xfqrekajx0g7fxs
Page Park,ChIJ6zgPbwnhwFQR3328JFZJpA0
"The Division of Assessment, Recording and Taxation",ChIJV1JX1goKlVQRJenlQKBY2-s
Sunset Court Apartments,ChIJU9IqTR8JlVQRJMKHPE1Oy9M
OHSU Parking Garage A,ChIJA5f_IEEKlVQRn2QZWjWtge4
Trask Court,ChIJI7FAuGRzlVQR5aQ6B8Lg5ps
Senior Living,ChIJoSfMks1ylVQRsNQOxuuQaUM
Northwest Defender,chijt4uesd4mlvqrztwpjmectys
Real Life Exhibit Portland,chijzwggkirzlvqreue0h26vyp0
"Sapphire Daily Money Management, LLC",ChIJLTkLyjymlVQRJTa9UF7cPKg
SHB Power Plant Engineering,ChIJ26Akx5cNlVQRdV9QgSYAecw
Self Sufficiency Office,ChIJ0YmSQP0MlVQRYIsD3bvntDs
Multifamily NW (formerly Metro Multifamily Housing Association),ChIJB9ZJgAMKlVQR5LCcE_gwd7E
Professional Liability Fund,ChIJ0UMYgNtylVQRzHWM7UlLOT8
Cook Family Park Shelter 1,ChIJOdL8SBNzlVQRojDMRwCuudI
Med Rx Partners,ChIJsTVom9YNlVQR0wFNPbP9A-I
Topshop,ChIJAQDRYfgMlVQRTgRjapS4Gao
Emma Jones Hall,ChIJqxcX4UAKlVQRPjaNLvnsNpQ
Bremik Logistic Center,ChIJGbKmocyilVQR3EA9gGMa4gs
Multnomah County Juvenile Division,ChIJJVvmzXGilVQRGJlFPAASD-Q
Multnomah County Juvenile Division,ChIJUz-MLmuglVQRmd0p8YYOdcg
Hikelight,ChIJVVVl6P2XlVQRv3262PA09m8
Multnomah County Juvenile Division,ChIJfTQR1BmnlVQRBbYHKQNirB4
Rack Room Shoes,ChIJwQJU5VC9lVQRPJGUsf4YFcM
Multnomah County Land Use Planning,ChIJPzHWf3WilVQRofs-49pL1zo
Multnomah County Sheriff's Office,ChIJhRy-W4GhlVQRBL8NIbggh84
Multnomah County Sheriff's Office,ChIJhb7zOeaglVQR7NKeX0lEtWc
Fire Program Solutions,ChIJn8j8oUiFlVQRP5VFWMWVnUY
The Dalles City Hall,ChIJiwlvv3YellQRt4AZFKqwpeY
Montavilla Park,ChIJw1A-4BGhlVQRrhA-xeIaQ3E
Brentwood Oaks Apartments,ChIJNzTjSVoOlVQR0OdnFtClvEM
Goodwill Donation Center,ChIJ2aE2bmsPlVQRCus2uHSGS5I
Capture Northwest,ChIJPVCRGv4OlVQRgQ5qNpCUGus
Washington County Resource Center,ChIJYxOz3B4MlVQRd63HA5-pnls
Linn County Circuit Court,ChIJc4utfKpswFQROSmE60jmaqs
Amazon Park Sand Volleyball Court,ChIJXwrbo08ewVQRzj99KNKEeu0
Silverton Municipal Court,ChIJw6wv7prjv1QRkwlz9NJGEz4
Ashland Municipal Court,ChIJR-DhfrEMz1QRCsRstvObNM4
Umatilla County Circuit Court - Hermiston Branch,ChIJ_Tdobu-4olQR1JpGBeSktg8
Stafford Hansell Government Center,ChIJr2DsZ--4olQREB2XWVUf9aU
Gresham High School Tennis Courts,ChIJs2UlEWKYlVQRCQ6EvhuPLTM
Peninsula Park Tennis Courts,ChIJE2SgkIKnlVQREXqKyLrUiZs
Rose City Park,ChIJU4jeMzuhlVQRvyqO-PACk0U
West Linn Engineering,ChIJwy5SsmdxlVQRvvwfFFHS6cw
Finance Department,ChIJwy5SsmdxlVQR0N1ye9S5Pck
Lattice Corporate HQ,ChIJ3cbeoYsPlVQR701TdQNHfGU
Marriage Licenses,chijtdx19bwalvqr6myolj-pjxs
Justice Services Building,ChIJSafam7walVQRTARdGBQxkmE
Washington County Assessment,ChIJO_oklrwalVQRgli9aOTDxrc
Washington County,ChIJ8z5TmrwalVQRkd8V8XzMj8U
Seminary - The Church of Jesus Christ of Latter-day Saints,ChIJ457fdM4alVQRFJEJ8vxsKq0
Lattice,chij_17up00plvqrv3lqwdbajfg
McAfee LLC,ChIJKRtubYsPlVQRp65ML05sFqQ
Hillsboro Business License,ChIJHb0OprwalVQR68yxEMhaSa4
Ebara,ChIJz_BHALAFlVQR80la8SNmkFE
Honorable Keith Raines,ChIJa95oYLsalVQRq4pAaYNEvp4
Josephine County Park Department,ChIJYVTRx016xVQRMR3qOv2oIOk
Talent Municipal Court,ChIJ8RwANgF0z1QRDMPE8UoNgkk
Oregon State Legislature - Representative John Lively,ChIJcWfdvhP_v1QRdVwzH-u0aE8
Federal Probation & Parole,ChIJL-98xw3_v1QRbR8q-qgbgQA
Marion County Jail,ChIJadWFh_f4v1QRo4vFlLUbrdw
Queen of Angels Monastery,chij2zzdcwliv1qrruxpfrf8mnc
Lake Oswego Traffic Unit,ChIJ52KONJp0lVQRdAFhlAbkqN0
Lake Oswego Adult Community,chije2xunl10lvqrpv8vihvod9o
Lake Oswego Public Library,ChIJmxptvpd0lVQRRoIZex8uOSo
northwest actuarial consulting,ChIJAQDsnSVzlVQReIC3Oxh-rvU
International Leadership Academy,ChIJXRzMp5h0lVQRWChczZ0wxJA
Multnomah County East,chijn5eh_v-ylvqrymawu-1gesy
Aspen Highlands Park Mini-Pitch,ChIJn5Rz3XaZlVQRYpcIaQwpFpI
Baskets By Nancy,ChIJp_rcAMGYlVQRuNZf9c9Rn6w
MHC LLC,ChIJ6bAvjqSYlVQRiK-w5injEpo
Steinbock Kari L,ChIJg34R-3KYlVQRoCO1YmHbli4
Parole & Probation Department,ChIJc0XI8ZOhlVQR4H3qGckZuvM
Garden Court Apartments,ChIJRVaP0Rn-v1QRmpzBL7rhJq0
Windsor Court Apartments,ChIJfzCXsfJVlVQRZJuCQWgZ8rY
Rogue Valley Country Club,ChIJLyBLD2R6z1QRHwC9Sv_sYLA
Northwest Housing Alternatives,ChIJM0ZRTd90lVQRcmt1ZkGIRaE
Clackamas County Community Corrections Women's Center,ChIJ96jOHNMKlVQRHfaoUP5RCHA
Circuit Court,ChIJQ3Z-iOLjolQRJ2znuN4uzQY
Umatilla County Personnel,ChIJQ3Z-iOLjolQRVdS7_84TB7Y
Motor Vehicle Department,chijbuc2tutholqr5_xofhf73b4
Umatilla County Elections Division,chijq3z-ioljolqrwbm9bdthjco
Bridges Reporting and Legal Videography,ChIJCxQCzl7holQRaVdquS3WI5E
U.S. Bank Branch,ChIJHTiapVnholQRrELC2P6Fj3Y
Circle K,ChIJraTEg-LjolQRqAlfqbe7mn0
Security Apartments,ChIJvwmi4lrholQRCBsxfNwKme0
OneMain Financial,ChIJk0cRKkTholQRl1sah4KzjOU
T-Mobile,ChIJCzt2ugnholQRF-BtRJQSP-U
