name,place_id
Symmetry Modern Dentistry,ChIJM8Nds6Sh0ocRwRLXc1FRkn0
Matthew McDonough,ChIJh9O-u5DVMoYRX5XkcMNttXE
John W. Thane D.D.S,ChIJqwT9ZVpqNIYRw57-ZtCMxSI
ARcare Dental,ChIJ8TNHI0yi04cRz3zx5lcYg3w
CARTI Searcy,ChIJl6DMTKOp04cRhUJia25tE8o
McDonald Eye Associates,ChIJx8_7JQRsyYcRQ1DvbJkBc0k
Arkansas Primary Care Clinics,ChIJjVb9KH2k0ocRB0tqWxDRtIg
CHI St. Vincent Primary and Convenient Care - Kanis,ChIJ_e25Plak0ocRt2cq5VuE44M
Baptist Health Family Clinic-Hillcrest,ChIJI_EZqmCj0ocRJM8GeHQcMTI
Baptist Health Family Clinic-Baptist Health Drive,ChIJzear5wGk0ocRv7CAdH50HUU
CHI St. Vincent Women's Clinic - Little Rock,ChIJJfPaJH6k0ocRhaSRi4SFxYo
USA Vein Clinics,ChIJdZLotFuh0ocRO5YftdCXZIY
CHI St. Vincent Diabetes and Endocrinology Clinic - LRDC,ChIJ99yJJLem0ocR2hvS6zF9o_c
Baptist Health Family Clinic-West,ChIJp4urUo5fzYcRN9Va0vl0PI8
CHI St. Vincent Outpatient Behavioral Health Clinic - Little Rock,ChIJ59w_t4Gk0ocRC5VktAp9v8Q
UAMS Health - Dermatology Clinic,ChIJ-ShahaGk0ocRyHf2P8n8wLc
Baptist Health Family Clinic-Pleasant Valley,ChIJS0KGKD6h0ocRkbRLerE50E4
Catar Clinic,ChIJNR7oEIik0ocRFyeQ1GFNjsE
Passport Health Little Rock Travel Clinic,ChIJtViJjlOh0ocRmLIYxGv8I3E
GastroArkansas: Little Rock,ChIJ8-wrDX-j0ocR9GbJachlUxw
CHI St. Vincent Little Rock Diagnostic Clinic,chijoz176qum0ocryfkfnfe1txq
Heart Clinic Arkansas,ChIJc5LdyDin0ocR17fDmg8rQfA
Planned Parenthood - Little Rock Health Center,ChIJHTOkZ2670ocRBk7UZhtpWEc
Gardner Memorial Free Community Medical Clinic,ChIJVX2GgJO80ocR9I4HvoiYSto
Baptist Health Family Clinic-Otter Creek,ChIJJ_Cl45-o0ocR2ZZrPzaZAhA
"The Woman's Clinic, P.A.",ChIJZX3aJH6k0ocRPhFelT7pFd0
Baptist Health Women's Center,ChIJP_wGQvGm0ocRyEvF3pCdeWE
UAMS Health Gastroenterology Clinic,ChIJ_____3ak0ocRS88tO0MaStY
CHI St. Vincent Heart Clinic Arkansas Advanced Heart Failure Program - Infirmary,ChIJCbXbyoGk0ocR2W10amWqZao
UAMS Health Endocrinology Clinic,ChIJSWXd1KGk0ocRu9sCHn2ET7k
Little Rock Eye Clinic,ChIJe97rGKqm0ocR7ZrQhiBNlio
Little Rock Gynecology & Obstetrics,ChIJa6_i-QGk0ocR11Oe8jFtYM8
Low T Center | Little Rock,ChIJH98OzEKh0ocRxObfiijoNlw
Baptist Health Southwest Campus,ChIJYZ9bbZ-o0ocRm0G-Wq51Vaw
Health Stat Clinic,ChIJ_eWZAGW70ocRzPsA9EWZIIk
CHI St. Vincent Breast Center - West Little Rock,ChIJwfMTAaeg0ocRCjG8CIEYp14
Kittell Clinic - Dr. Michael Kittell,ChIJM7Madrmh0ocRn87j5cfsIxE
Child Study Center Clinic,ChIJr_UNk0W70ocROGvbj4hV-T8
Central Arkansas Va Mental Health,ChIJ9-rLkri80ocRiBU8I7Fp0NM
Adolescent Center,ChIJRTfrAkW70ocRnkN_WmVMG7Y
UAMS Health - Audiology Clinic,ChIJoa45JqCk0ocRew2LA9RBhLQ
"Autumn Road Family Practice, ARFP",ChIJzxlxNMqm0ocRiMi7ojHKvSU
Arkansas Urology,ChIJD_0dL8im0ocRFggUGrt9ITc
OrthoArkansas,ChIJi6QVVq6m0ocRfCzTJFj1Otg
CHI St. Vincent Vein Clinic,ChIJtUDzd5Cn0ocRF_Ns6aZIfJk
Arkansas Women's Center,ChIJsSleBAOk0ocR4rXiNZF-eBk
"Dr. Benjamin G. McDonald, DO",ChIJSdMCFzO80ocRB5zWpurgbQk
