name,place_id
Marti cafeteria panateria shusi,ChIJQ9n2wUqjpBIRgKHhy4a_J9c
Delicious Cafeteria,ChIJ3cXHuJGipBIR6fl8MuHGHGU
Aso,ChIJvRXTMFujpBIRL14kdxmtCJE
LA COSTARRiCA,ChIJmR6OOO2ipBIRBcpqr_6zA9Y
Cajero Euro Automatic Cash,ChIJp79ESH2jpBIRo_--dyEnOtQ
Catering Rosa,ChIJ7VhK_c-ipBIRzFsKEQTonio
"C. MALLORCA, 382",ChIJVWoml8KipBIRbl30Kp-h_Nk
Cafè i Lleure Xarau,ChIJA8pR9OyipBIRSJC8IZuzep0
Maor's,ChIJEfr6e42ipBIRapaYSiRBomQ
Caixer Automàtic Banc de Sabadell,ChIJlQXw41GjpBIRWd6qWZkIkdU
Caixer automàtic Santander,ChIJ76i4ypqjpBIRdHbcwh2yfJQ
Javier Sanromán Valverde,ChIJ961tcNCipBIRpjv7ci9eliI
CaixaBank,ChIJn1Wxgo-ipBIRFvwr4dldXc4
Roger Horno de Leña,ChIJ6bUK8YajpBIR6Jj5eZEoB_I
Bar Roca,ChIJuz0soNCipBIRYFmYF8TC4QQ
Caixer automàtic Caixabank,ChIJWTLuiPeipBIRUgGL1zozZWE
Cajero Banco Sabadell,ChIJachHjDyjpBIR3uwbsJsFvCE
Forn De Pa-Cafeteria Qvorum,ChIJ4Yx7H8WipBIR9eksSfln2pQ
Caixer Automàtic Caixabank,ChIJ6cmTfd6ipBIRyZXYkw3l7NI
Euronet Cajero,ChIJ9-l05YajpBIRqrPc0sqKkTM
Cajero CaixaBank,ChIJN67S6sGjpBIRCzHAOxgI8UY
Dtto Sylt,ChIJC0o2hu2ipBIRG55mXCVPCDY
Restaura Praun,ChIJ_yN3X-2ipBIRHxDTSly4x3Q
tienda de Nesspreso,ChIJN_KR2ZKipBIRtIO7st7JEH4
Cajero Euro Automatic Cash,ChIJiYwAARmjpBIRAI0gDgH9qng
Caixer automàtic Banc de Sabadell,ChIJU07qxtejpBIRi_unmG9MRMI
CaixaBank,ChIJ96Kmq3-YpBIR-EkSmdJRPjM
Transit,ChIJ65A0rNCipBIRNHXNVBX-9ew
Supertermic,ChIJWRIbJYmipBIRyeckDYK7IG0
CaixaBank,ChIJmTVnGWGipBIRUrcPBcT0J6E
BITCOIN ATM GBTC FINANCE,ChIJXcWjaxajpBIResi3rHScSnQ
Fruitas Rosselló,ChIJs0XQQ5CipBIRXhk1wLqPoDU
Banco Santander,ChIJy93y6oCipBIRE_eADntIRDc
Banco Santander Empresas,ChIJN-lUGYaipBIRpatdyJTRZiY
Carnisseries Salas Aragó,ChIJp05FR66jpBIRBsrQyn61tlY
Concepción Domènech Fabre,ChIJsUXUdL2ipBIRe7g7vNoYpw4
Supermercat Fruites I Verdures,ChIJsSjI74-ipBIRHC6X3gvV3N8
Lluís Casademont S L,ChIJF5BiMX2ipBIRpQN5yfVbFoA
Alimentació fruites i verdures,ChIJa5_mvf6jpBIRgeQuP9IE6lc
NiM Apartments,ChIJYZVUFJGipBIRoFpjg1EJde8
Queviures Fruits,ChIJA-_p2WOipBIRD4WeyMuEda8
Fruits Secs Marta,ChIJA1CuCuyipBIRi1kZwuvZFZY
Independent Technology Systems S L,ChIJ53ClcPGipBIRNAOmi25wMXw
CoImpact Coliving Mallorca,ChIJTQtlDaCjpBIRp2NUBTh_P_4
Circine Home S.L,ChIJg0CKNZKipBIRyddqXLr6yaw
Global ProEvents,ChIJr1UvxJCipBIR-rk4HLdSECo
Fruites i Verdures Rabaneda,ChIJleEw9YiipBIREBFnOxXasYM
Sants Cures Assistencials,ChIJv_qrhuCjpBIRPVsM868qCgM
Ángeles Rovirosa Casino,ChIJIYRVqeGipBIRc5jW_Dqljhg
Metro Real Estate,ChIJc8V6--GipBIRi9QXxkVKHME
Friday Night,ChIJ6dF0BJOjpBIRzDSylD19kkg
Parking,ChIJjQ03OX2ipBIROaSytd_YddE
Voltasol Projet S.L.,ChIJUVpmcJSipBIRRhsJ1FXIr2I
Tarrés Mascaró,ChIJTxuIDBCjpBIRnNV_PPhdTzg
Residencia Seribel,ChIJAQCQae-ipBIRZGBxHnwpkG4
ComaCasa Catering,ChIJXR3dOoyjpBIRHr467Dt3AxU
Qatering,ChIJX0cVuvKipBIRQNaQvIw69Z0
Iteralix Enterprise SL,ChIJfw9hJbKjpBIRKLeJ0wNEVzs
Recreativos Pelayo 56,ChIJXRujBvSipBIRmeB1AZhDYtM
Bon Profit Restaurante,ChIJ0V3uGemipBIRAR-mXiPQOps
Barcelona Turisme,ChIJwYUzO_GipBIRgjqENNvKuZE
Vidres Sardenya SL,ChIJQX25n-GipBIR87KV1VWviCo
"Vendo Technology, S.L.",ChIJH17hX5GipBIRh4NbYx7pMjA
Cic-Control,ChIJw7T2GOuipBIROVXN447psRA
Efinan Immobles,ChIJf07-nOmipBIRXPEa9rZQV8o
Up Home,ChIJUa285B-jpBIRjxMMDZHeK8A
O-KEY BCN,ChIJkTxf2ICipBIRrXwyqdKP69I
Cuadern Campanals Arquitectes,ChIJj6y2leWipBIR_u_ryuN83Pc
Riosta Barcelona,ChIJBf4AzJSipBIRVxPDvqej_G8
Finques Trallero,ChIJQ6qbS32ipBIRK7OSGVTU85M
Finques Xiao,ChIJF3-MmZWipBIRTfvJxiHCm_I
Casas de pueblo,ChIJjQ1jypCipBIRvrNl4IB_z3s
SAVAHOUSES,ChIJeclt1JaipBIR0i9rBEQcQ6w
UÑAS BONITAS BARCELONA,ChIJoZ3LSJF5pBIRwKMGGPxlZDw
Vivienda exclusiva,ChIJhy-2-5yipBIR6VLtyTxIz_4
matchome-barcelona,ChIJZxmOXLaZpBIRx_Cc4bSmTgc
"Agencia Principado, Servicio Doméstico y Cuidado de Mayores",ChIJWV-YzJCipBIRvRgZ1xZ5Iyo
Puntcasa Inmo Friendly,ChIJq6raTWKYpBIRsEpC3p58wM4
apartamento,ChIJ5YzYKQGjpBIRvYOVw8J2GIk
Habitatges Mir,ChIJ-eU7iHiYpBIRw4hCkdRzGMI
Alfa Immobiliària,ChIJhdwjyZGipBIR5BAkcigLYCU
Apart of Firma,ChIJifAK4z6jpBIRqjugh3EcSmY
Inmo Ara,ChIJgVYfVH6YpBIRScnEJvEqdtw
