name,place_id
Pret a Manger,ChIJBVCWWZmjpBIRu7dRi4_erf0
Font d'aigua seo,ChIJDbfqI1CjpBIRYEWleMnfcic
Drinking water fountain,ChIJMaQre1C9pBIR4zTLZOC0PBY
Fuente de agua potable,ChIJ7aq_YRiZpBIRjFq74tVnBs4
Font del seo del rius,ChIJVZ0q-LijpBIR9H-cAW30NPQ
Autoescuela YELLOW Barcelona,ChIJnx-USVKjpBIRrFDQ2vrbK_8
Autoescola Igualada,ChIJD5BSTNtppBIRVabK8OCLXN4
Flock Drone Art - Espectáculos de drones - Drone Shows,ChIJv2S1AGYC30ERXVWC0H83ZYU
DRONELAB,ChIJaSal6GydpBIRfZwPEeXzPuw
El Patinete Loco / Pidisruptive,ChIJ1c2TkyOTpBIRdqj_QttHlQY
Hipica breda,ChIJC0ivktYvuxIRr7y9uxrVOEc
David Chevalier - English and Spanish speaking Psychotherapy and Gestalt Therapist in Barcelona - Turó Park Medical Clinic,ChIJMd3jlpWZpBIR16b_mI6z5yM
AR Marine Surveys,ChIJFfc4iIGTlxIRGJtEH8xyJCE
ORIENTAL MASAJE CON AGUA NURU Masaje muy especial,ChIJE5CckfijpBIR1xEeGZ0OOqc
COS MENT,ChIJ729is0qZpBIRYXjiXXp98ps
Àncora Bar,ChIJqRT2AtCOpBIRMctjL0E3AC0
ASHRAFS,ChIJB9C3hKGjpBIRe7YnndmS0t0
Club de tir amb arc pardinyes,ChIJqzQ5nxfhphIROsZMvB5mpDI
CGFuegos,ChIJ91R2wMGjpBIR948fKuHwyts
Armenia Grill House,ChIJdcIGEKMHYw0RlBQHU4UnKug
Art Montcada Gallery,ChIJYTZ7mkCjpBIR9MKp8PKDCb8
J. Tramosa,ChIJk8A8T_WipBIRYcYkuzXDmxA
Guntrian Art gallery,ChIJcwAZjmKjpBIRhixgji3hmRQ
GENEROS DE PUNTA,ChIJDTt2U_mipBIRObH8bHvwhWA
Minigolf Els Ocells Fontrubí,ChIJ8YO-K1ZMpRIRTlf2ODA7ZEY
Yoigo,ChIJ21XS7la7pBIRi1Fq_jZScm8
Western Union,ChIJnZUWKVKjpBIR8k085PHMdDo
Bombardo e Hijos,ChIJY6GJwY2ipBIRJiduoDBXwnU
Passeig de Gràcia,ChIJQ0inOpOipBIRHKSCgc8FWq8
Bracafe,ChIJ30BPk6eipBIRA3hNdO_q8G8
Bar Avenida,ChIJQXUxi0-jpBIRN1_U7M8VWR0
JOOPO Restaurante Chino,ChIJF3R74LejpBIRL4hSvRP6j1g
santa clara chocolates,ChIJ-W1wG_mipBIR8Q6ah2KGgqw
"The Chocolate World, S.L.",ChIJGV346YWjpBIRTHA-nP9KCYo
Casa Cacao - Pop Up Boutique | Hotel Mandarin Oriental,ChIJzXjci1KjpBIRYw5sd8SX3tI
Stephanie Voegele Jewelry Studio & Workshops,ChIJFVH3szajpBIRCTV0-__3vp4
sofia bisuteria y compltmentos,ChIJZ6pETN-7pBIRm6v1IzI1tnA
KEBAB,ChIJJWcpkfKjpBIRN2_Jk0sxWuw
嘉诚律师事务所 Maxeasy Consulting Barcelona,ChIJFe1xEwGjpBIRUNi6wApDZrY
Delicatessen Terras Incognitas,ChIJASYIP5W9pBIR6Ja71kuie4k
Suis Den Clínica Dental,ChIJbYusH7WbpBIRKOyVD1AGC2M
Turó del Puig,ChIJMVi-c4SXpBIRiFwuGALwl_c
Mulei,ChIJb2KEjGuapBIR4_XwHmX2RRQ
Turó de Can Xandri,ChIJlQajXUGPpBIRqce3VoESq5o
Turó de Ca n'Oliver,ChIJyV9_Uj2WpBIRBkJ4FOsvt1c
Área para perros,ChIJjaDaCACZpBIRK_voZgGO8Vk
Cobs & Tops - Terrassa,ChIJm6-WfNyTpBIRxUC_1r-lZF4
Open Door Supermercat,ChIJUTcBKvWipBIR8LOAX9PUyNM
Drinking-Water Fountain,ChIJESp94fGjpBIRjyesrtkh7Qw
Fuente de Agua,ChIJJeC9tnmjpBIRYze82lfD67c
Ombú,ChIJD-s5MO-jpBIRxwJul5sw9Uo
Verdaguer Cafè,ChIJp1rAROqipBIRTx6llHABB90
Peu de Via,ChIJ3ajrXGanpRIRZuDu2h9t3bI
MaRUSya | Botiga d'alimentació,ChIJY2g7P3qjpBIR0SiEjHOKXPw
Rv Manel Aplicacions Y Revestiments,ChIJKWETPaibpBIRO5ViiVvAg-k
Apollonia Surfboards,ChIJ36nnvrS7pBIRaX9sVnEqyro
El Bombín,ChIJ7UfyGD-jpBIR0wchbgfTFi0
SnowPlus.espana,ChIJ6-D-SMOjpBIRp2byjd3xM9c
Carnisseria Islàmica Iqbal,ChIJY_jh9l6ipBIRD_SPKBTtMqY
Hussain Carnisseria,ChIJRYxVMl6ipBIRiWoyrrYlK6k
Condis,ChIJVyrjVPSZpBIRoFY5CT9_Ffg
SPARTAN RESTAURANTE,ChIJVfqjgqSjpBIRGDwaoLTyweM
Otro Romero,ChIJz9omej6jpBIRSE46UDSf2mY
Fuera de Campo Films,ChIJQQ7TWEy9pBIRUdzTfL_IqeI
PLUS PRODUCT SL,ChIJjUWif_qipBIRoAapAzNQDdw
Caserna de bombers del Poble Sec,ChIJpeDxKXuipBIR_e8blqWqRoc
Serviredag S.L.,ChIJkRx4k7bFAaERs2YksAqsYws
Dra. Susana Boronat Guerrero,ChIJ_7GaJjOZpBIRSf0UGY3DzHM
"RESIDENCIA L'EIXAMPLE III, ENFERMERÍA",ChIJ33Lw_h2ZpBIR0xI3VkxeDJg
JOKERS MC Nordeste Baix Llobregat,ChIJv54EhgORpBIR8MECKZS06Kk
Sala Paral·lel 62,ChIJk9UT0BajpBIRCtRX7S4tFVw
Nunails,ChIJTYGJFHCjpBIRorEpTAoll7E
MODERN NAILS VIET,ChIJ74ej-mWjpBIRHDoRj-y8i2c
Barcelona Nails,ChIJD7XALlu9pBIRWiz2B6UshpE
MINI Motor Munich Vilanova i La Geltrú,ChIJeZIHZSCHoxIRg0daXRGAJ3c
MINI Oliva Motor Tarragona,ChIJC9e1E-lXoRIR1fKDJWe_1Rs
PUNTA TOMBO,ChIJb8Z2GsOipBIRXhroTHstO7w
SiOCAST,ChIJ4SOa4Zy_pBIRn3tTZAZ_7As
Casa de Colònies Mas Lluna,ChIJP0aAieijpBIRdoqhm-zPONA
Dog park,ChIJNd7rkJyZpBIRDt-slTMJezg
Drinking water fountain,ChIJn-GyMrSjpBIRZMOOXZiN8nU
Drinking-Water Fountain,ChIJiQKMTGSjpBIRhAhDpgvEksc
MahoDrums Clases Particulares de Batería,ChIJcyucmxe9pBIR37xIRyTPfhE
Clases de Batería / Taller de Percusión - Fran Guillén,ChIJOwY9_ECjpBIRezroA9WjVoU
City Sec Tintoreria,ChIJF4lo3MGipBIRcnk1ivDZ2_c
Despedidas de Soltero Barcelona,ChIJsWTlTfOipBIRud00ZvVRCRI
Restes de l’aqüeducte romà,ChIJy0-NaOijpBIRJEFiXgMBhq8
xm+a architecture,ChIJ8awBN-udpBIREGOL-UJq9hQ
Euronet ATM,ChIJaWCZ1JKjpBIRT3WytF-LGhE
Zona de aparcamiento reservada para motos,ChIJed3wnGSjpBIR8MqoO1iuhjg
Escola de Dansa Roger's,ChIJoZV2kgGWpBIRM5gAZZEtQ7Q
Mariachis,ChIJZyS8W9OZpBIRfPcNT7Q-0NY
Valkyria & Beauty by Javier Moreno,ChIJYeNtjJWjpBIRlh7ZipWUfdE
Idunn Benestar i Bellesa,ChIJWz2BDkSjpBIRr7MeLSL9aYU
TATIANADELGADO-AMA TU PIEL,ChIJ1xgeFmejpBIR2LiNq24xt5Y
Nova Estètica,ChIJUc5zeTqjpBIRG1pdHJslQz4
Antonio Pérez Dalmau,ChIJT5eIO5GipBIR5GmYqicz7fg
Autoescola Rodrigo,ChIJ60CYska9pBIRQVoouLadfWI
Don Market Puntalon,ChIJgS8LJteZcQ0Rj_oYpFBYc8Y
DON MARKET,ChIJb3PfgUf9cQ0RfxYhVafYm0Q
COVIRAN LES CABANYES,ChIJkVZwxY57pBIRDaQDOitE_Yw
Mercadona,ChIJSeG9ifWHoxIRMATn9pcI4_I
Centro Grinberg,ChIJc4_ts31_pBIR9YorRNlsitQ
Centro Saúde Lobios,ChIJYZIBlxk-JQ0RhQ3LRaKuKHQ
Can Raventós,ChIJoWclluSGoxIRnDwxJYLvFyE
Cap Salou,ChIJnzjs2R9ZoRIRkMfUHQzEmQc
Cap de Salou,ChIJs62gChBZoRIRD4tL7AZGUqk
Estanc n°1 Ramos,ChIJI7XEPJWBoxIRAR3FirOJoLQ
Ciutadella de Castellciutat,ChIJiy6JkP3vpRIRT4jfE-N9_yM
Escola Pública Castell-Ciutat Zer Urgellet,ChIJZXsk43fupRIR1apMkX_C8LQ
Com. Reg. Canal De Anserall Castell Ciutat Montferrer Y Adral,ChIJCWXioq_vpRIRPCfUK80x8c4
Escuela de Patinaje Al-Andalus,ChIJQ1awYMP3cg0RU049BdsG88s
Escuela de Patinaje Al-Andalus,ChIJVwGRqszwcg0Rp2lC1vaZn2s
Escuela de Patinaje Al-Andalus,ChIJizM3Ytv5cg0R_Tsyhu7-pyM
Escuela de Patinaje Al-Andalus,ChIJT27P1Tj3cg0RdZWkTVChMqs
Escuela de Patinaje Al-Andalus,ChIJ3ceUskT3cg0RAc-peh-3tV0
CEIP San Pedro Apóstol,ChIJXUHTVUW4Tg0RdLF2OkRTaOs
Escuela de Educación Infantil Agua Dulce,ChIJs7zHxqwpQg0R-WgOGq7fZEE
CEIP Nuestra Señora Del Rosario,ChIJgyr2AUFsYw0RDnXvgpWJOqM
