name,place_id
Quest Diagnostics PA State Walmart #2008 Drive-Thru - Grove City,ChIJX3e0ZwqfM4gRdYpVy56xHVc
Grove City Community Library,ChIJOyoFxlx1M4gRynzf-UQl4gs
Ward Transport & Logistics Corp.,ChIJ6_aa804MM4gR-9PXH_XDQFA
Davevic Benefit Consultants,ChIJMWpu29-fM4gRAYi0Wz-8fr8
The Hometown Pharmacy,ChIJnZ4VwPGfM4gRjnBYmElsmFs
Grove City Hospital,ChIJjyhdg9R1M4gRdAEWFjG6CPs
Little Caesars Pizza,ChIJ3_AlkVx1M4gRR3FxCWmcFEY
Steel City Harley-Davidson,ChIJ6_s7LK6sNYgRgsXzWrTt8ZU
Phil Fitts Ford,ChIJPZCx9vKRM4gRmqPz1SCf4K4
New Castle Harley-Davidson,ChIJSS_GIXaEM4gRstJ4P2YOZXc
west elm,ChIJmRmOnS_GxokRdodPZ0raIwE
"Ben Bissett Chevrolet, Inc.",ChIJIY0xu_uiM4gRIylliLSwlM0
FedEx Ground,ChIJWw8H2KwbM4gRlmYCb8-ueco
Enterprise Rent-A-Car,ChIJD7hd3c6CNIgR16SQD8ZV-u8
AT&T Store,ChIJH1KpcMmfM4gRo_tcJXNXUIA
Enterprise Rent-A-Car,ChIJSwpzIYi_M4gRcCiO3cKQoV8
Dollar Tree,ChIJxRgmv_mzxokRtSVY-6EIjdM
Iron Hill Brewery & Restaurant,ChIJB3C-W3e5xokR8SgdEtCXhbY
Ace Hardware,ChIJXXwSgLcnxIkRov6qDDlCYIQ
Campania International Inc,ChIJc4udw1YmxIkRU-XdNwhN5hk
"ALKAB Contract Manufacturing, Inc.",ChIJ1_fUoriVNIgR3F3h5DCmIcA
Famous Supply,ChIJP9bR68OVNIgR1OyvNX3pBQ8
Lowe's Home Improvement,ChIJd8MKwDiUNIgRXGA9fTaS8tk
Skylight Solution,ChIJ_6nlcbqIxIkRv_Hf1bn7FYA
Giant Floor,ChIJe9sJAVKKxIkRPloAACb0CVE
Garden Center at The Home Depot,ChIJfSD5p4iJxIkRPGqjCouxmh0
Sears Appliance Repair,ChIJn4BV_VuIxIkRs_FRN43ArOQ
Mavis Discount Tire,ChIJmyg2-PWIxIkRUdUhJrxx170
Mr. Appliance of Monroe & Northampton Counties,ChIJye7yHU-IxIkRC1t5Xxh9inY
Midas,ChIJjbNyn7uJxIkRGsnotIIunFE
Kost Tire & Auto Service,ChIJR4XJocCJxIkR9sTwFiDXEEM
Smart Start Ignition Interlock,ChIJx0E_9gSJxIkR0ZBOD8pcwzo
Shinetime Auto Wash and Expert Detail Center,ChIJM3dza-6IxIkRL1g2DPSuw9s
VFW Post 2540,ChIJYY5WZRP1xIkRv7FURGAeMgg
Mavis Discount Tire,ChIJ2UcqiMaFxIkRcvNQGmEJyHk
iDropped - Stroudsburg - Stroud Plaza,ChIJQRW59L2JxIkR5qqIglVaxHU
Fine Wine & Good Spirits,ChIJY3cyVlmIxIkRtBcKQo7WxPk
Lenape Hall,ChIJ8VvpgImIxIkRi1YrRggOV6Y
Sunoco Gas Station,ChIJN3MVG-qIxIkRILV-Qesr8kg
Burger King,ChIJAQAAAJCMxIkRtkYvgd2X9Wk
Little Caesars Pizza,ChIJbbBpTl-IxIkRxLNErq23IIM
Days Inn by Wyndham East Stroudsburg,ChIJT74vUCiGxIkRhQFJCFduBPw
Pennsylvania Army National Guard Recruiting,chijnfwgmv-jxikrrdv3fmeyduw
Walmart Fuel Station,ChIJD_C3m1yIxIkRECB0RGn0ZXc
McDonald's,ChIJAe_6UEWIxIkR8uLT6vYEMjw
Sundance Networks Inc,ChIJi_lYw4qIxIkRbNi8ypK1S9I
Public Welfare Department,ChIJiWyuiE6IxIkRZr70Pkemd2c
Mavis Discount Tire,ChIJhStyyk6KxIkRsJF1sp4SrwU
Gulf,ChIJIyivvIGIxIkR4bvRISa7e7M
Chevrolet Service,ChIJJUCowJWJxIkRl8dzz4ejCwY
Texas Roadhouse,ChIJcZNl3b2JxIkRIg836CKOmLc
Coover's VW/AUDI Repair - Sandblasting & Body,ChIJ6fChRGALyYkRfVFNC-JPBi0
McCune Lumber Company,ChIJe3Nie48MyYkRkrtVoo8-yqs
Walmart Supercenter,ChIJ_QSHSEEMyYkR9dDH9wZNJi0
Frick's Heating and Cooling,ChIJA8k5nb0TyYkRZdDPoK5f7po
Brechbill & Helman Construction Inc,ChIJn_7NHmeeyYkREHMxmY9zUjg
Walmart Pharmacy,ChIJ_QSHSEEMyYkRVrF2cvhjzAI
Walmart Auto Care Centers,ChIJ_QSHSEEMyYkR2Letqm2vZ18
Starbucks,ChIJo-YFgYwMyYkRIuFU70myfKM
Chamberlin & Wingert Sanitary Services,ChIJbwcSppl1yYkRva3VE3KCz_s
Walmart Garden Center,ChIJcwJNUEEMyYkRaN1uozz-S3k
