name,place_id
The Woodlands Christian Academy,ChIJPRkVBcgwR4YRiLFHqcIaOp0
Kumon Math and Reading Center of The Woodlands - West,ChIJq6qqqj4wR4YRObN-7Z02ZOg
Code Ninjas,chij-autm4kxr4yr-oyv_ru5npk
The Woodlands Family YMCA at Shadowbend,ChIJFawTLtkwR4YR35PJDleD93w
Lakeshore Learning Store,ChIJgUHynB43R4YRyxlrOATuvgA
Interfaith Child Development,ChIJe24NNagxR4YRIehzBAGO1eg
JEI Learning Center,ChIJz5_OdiowR4YRYAGtKEQjhYI
The Woodlands Family YMCA at Branch Crossing,ChIJS7FzfNUvR4YR7TgaYADGmw4
Nutty Scientists of Houston,ChIJdXfxoqk2R4YRAZ1AFtwc2aI
The John Cooper School,ChIJO3Glgq4xR4YR0g_f9_Av1yc
"Minor Emergency of Denton - Denton, TX",ChIJ14uOllnLTYYRi36DNA3yNb0
CareNow Urgent Care - Denton Rayzor Ranch,ChIJPe0DTAjKTYYRhExDG9UB9Zg
Baylor Scott & White Clinic - Belton Lake Road,ChIJPT9eWUlARYYRkWYBXKwIKIs
WesTex Urgent Care,ChIJN0HlRjvJ-4YR3Eh70S8q6w0
WesTex Urgent Care,ChIJKcKLEBXZ-4YR-3Ep-CFZgJA
MCH Urgent Care JBS Parkway,ChIJOduw3sHO-4YRk3B2UsTZmA4
MCH ProCare Clinic at Walmart West,ChIJuaVIiZPJ-4YRQ3Ky1hUqt2I
ArborCreek Montessori School,ChIJRR7xIE4mTIYRiAn8z1sxTFs
Primrose School of Valley Ranch,ChIJm2OlLfgoTIYRt10NE_6Rs-k
Wonderland Montessori of Las Colinas,ChIJX-hEaRgoTIYRheCYDuHart4
Happy Days Preschool,ChIJm9qXKJgmTIYRj06MZeIXXoc
New Age Montessori,ChIJm6B8-fYoTIYRIAdVQzAuv_A
Arapaho Methodist Day School,ChIJswqg08EhTIYRdUo8R9XnSeo
Tammy's Home Day Care,ChIJF8AoHBkhTIYRMp8v8pwd3R8
Small Miracles Academy - Richardson Campus,ChIJJVN2CN8hTIYRpaMCqVyu05E
Cradle To Crayon Learning Center,ChIJByluobidToYRP3h0kH2GwEc
Primrose School of Richardson,ChIJjc6MxvAhTIYRs7ZrP1zsjl0
Church of the Apostles,ChIJsyzmIdooTIYR0d-pHG14cSs
Childcare Network,ChIJmRIwurKdToYRQ4ScGejb3YU
Janie Stark Elementary School,ChIJEVD016AnTIYRLEoFb7tYPZo
Pet Paradise Las Colinas,ChIJ3b2QhxsoTIYRFKYeADTeVPU
Ruffit - Preston Forest,ChIJuck9q5EgTIYRiIpyHN6XZfQ
Camp Bow Wow,ChIJPXE4bd4oTIYR2NlkQOe9E5c
Gainesville Head Start,ChIJhUKiUOEATYYRqm7df2H1FHA
First Baptist Church,ChIJt5msW_oATYYRK1BuftmH888
Kindercare,ChIJf55n--ahQIYRs5dgjuu_e_0
Kolarik Ninth Grade Center,chijryhq97imqiyrqo5rx2e-0es
Alice Johnson Junior High School,ChIJnbcfebumQIYRYwNEFS9_d2w
Peas In The Pod Childcare,chij4fv10w6fqiyrbovs7axbsxc
San Jacinto College Central Campus Child Care,ChIJu2ELCw6fQIYRyFpW2y7X8a0
Apple Tree Academy,chijy4s_kxgfqiyrlgw-mv5v-ug
Champions at College Park Elementary,ChIJnWBsmG2fQIYR9FDxEbauBBk
Champions at Heritage Elementary,ChIJ0bWEr56fQIYRXOqihaF77wU
Champions at Rizzuto Elementary,ChIJ5_-RQPyfQIYRIPITOoseCXU
Champions at Lomax Elementary,ChIJ6XpPVuWfQIYRvxkepn6si4U
Fairmont Kid's Club,ChIJgyWtMNufQIYRmFUvaIAjUb8
Champions at Jennie Reid Elementary,ChIJMwRbIrafQIYRgqvqJa47Qtc
Bushi Ban Martial Arts & Fitness - Pasadena,ChIJ66MXEn-fQIYRqvMD4BllAOs
Kumon Math and Reading Center of Pasadena - East,ChIJDdX-10_DwoARUe2h0yqt_AM
The Salvation Army East Harris County,ChIJr3yknJqYQIYRAXhOFTqJX60
The Children's Place,ChIJE9W1OdqYQIYRxHwuCBSkDhc
CareNow Urgent Care - Heights,ChIJ5VjE617HQIYRaz4Z9yf28FM
CareNow Urgent Care - Memorial,ChIJgZm2i2TbQIYRC8IcJySP_tM
Next Level Urgent Care Tanglewood,ChIJz1wEi8jAQIYRu771FdTWFYM
Next Level Urgent Care | Copperfield,ChIJl3FPBdfQQIYRhggdGeCOuQ0
Dr.'s Express Urgent Care,ChIJrb_fo1THQIYRiRMJLlNgdJU
AFC Urgent Care Vintage,ChIJKS_1o4nSQIYRCIlNgwB6684
Texas Children's Urgent Care The Heights,ChIJUa40q3zHQIYRjYZl97g-Vcc
Texas Children's Urgent Care The Vintage,ChIJjYSQ04DSQIYRK5WOvSaACgg
CareNow Urgent Care - Cypress,ChIJT_fRETDXQIYRUOllAVJ_JkQ
Urgent Doc,ChIJK3c9KRTDQIYR-kRLyDyFiSE
OnPoint Urgent Care - Bellaire,ChIJe8xrjcbBQIYRfgvKK6nQeOw
CareNow Urgent Care - Kingwood Northpark,ChIJE3WohUZNR4YRtRyYpag2LcM
AOK Urgent OrthoCare,ChIJ9y29bGHEQIYRUFcoqZPkPCI
CareNow Urgent Care - Midtown,ChIJV3RZu2u_QIYR01POmXWVyoQ
CareNow Urgent Care - Fairmont,ChIJx_ROczaZQIYR6zc-6EifwPw
Concentra Urgent Care,ChIJoxQXABm_QIYRrizfhysVROM
Memorial Hermann Urgent Care Spring,ChIJjaUnO7kyR4YREXwpd55WwEE
Texas Childrens Urgent Care Fairfield,ChIJ99hnIocqQYYRP338bwSu0r8
CareNow Urgent Care - Tomball,ChIJ_V-bvWQsR4YRMNUL5O4_5gA
CareNow Urgent Care - Magnolia,ChIJCfH0hPwvR4YRk7H-_wXLzcs
NextCare Urgent Care Spring,ChIJObykQcU1R4YR2BMBZ9jDOb0
