name,place_id
Summerfield Community,chijf1fzjdelvfmrdjpyh4uusgi
"McAlvain Companies, Inc.",ChIJvdJqgkJZVFMRGjf3O_17VTQ
Keiser Hall,ChIJr-Z9b1j4rlQRm8eeNuceHZM
City Hall Plaza,ChIJQT4qvu5TrlQR5E_8wDM6G4Y
Hall Stanley M,ChIJvQzy8Bv5rlQR_VZ0dJCAKqs
Kingdom Hall of Jehovah's Witnesses,ChIJYW9MFqi0r1QRW8Ig9_t6AOw
"Dr. Ian N. Butler-Hall, MD",ChIJCeHHAP34rlQRdCPgJosNQXw
Kingdom Hall of Jehovah's Witnesses,ChIJDbfabjhXrlQR47IoiV3BPvI
"Dr. Jeffrey T. Hall, MD",ChIJuY5a5u_4rlQRZs7ONMLZwwk
"House Doctors Handyman of Boise, ID",ChIJ78ON4o3_rlQRpleUTS451Go
Boise Phil,ChIJecdnHvD4rlQRJKkMLZufpLE
Hall Christine M,ChIJvQzy8Bv5rlQRiyyuvPa-pCQ
Initial Point Lodge No. 98,ChIJS-FHE934rlQR1i1I3s_nxRk
City of Boise- Mayor & Council,chije5kdpot4rlqryhumvqwgcyy
Boise Planning & Development,chijexdpoet4rlqrnvfvxlqodec
Scottish Rite Foundation Id,ChIJf8xHC-f4rlQRKNHdvoOCLvk
Gateway Mortgage,ChIJtct2ZAqrr1QRCcl3OQilbdc
Renfrew Hall,ChIJ46bKgbknoFQRsVI1vLcBf1Y
GeoTek,ChIJM8PdiO7AYVMRgq-AYxPkw6I
H C Co Inc,ChIJTR8T44BVrlQRTHVCRKWPY3Y
Kingdom Hall of Jehovah's Witnesses,ChIJDSD1JPnAYVMRGxPuEUZyMfQ
Kendrick City Hall,ChIJ7Zbh0UsWoFQRR8yoMsum4FI
Installation Services,ChIJnYn3tKJMrlQRnDpSuCkvgrU
Office of Academic Administration,ChIJIStHlUsLVFMRUvBfV7kcn70
Student Support,ChIJG9HBWHgLVFMRToeq7cD7GeE
Idaho Transportation Department Region 3,ChIJW60cSy-xr1QR51AuH8G49lE
HK Contractors - St. Clair Pit,ChIJZ7ZVaC5fVFMRHl7HhN-FqXU
Risk Management,ChIJFYfyV8MLVFMR-JGCIFwKUF4
Dynamis Energy LLC,ChIJzV-8erKqr1QRTUXjxf6ZzEU
COWAN SPECTRUM,ChIJbdJAqhEnoFQRJYsY5u4LzgQ
Accounting Services/Bursar's Office,ChIJKT8P_CALVFMR34shVHg0Z54
University of Idaho: Disability Support Services,ChIJq6rqboQnoFQRI1gFBJvahGg
