name,place_id
Dreamscape,ChIJuZrwDRy7woAR4B1oqeZeYhc
Livermore Park Water Park,ChIJ07GSy0nkmoARBfyf95iRM64
Waterfront wheel,ChIJ63r5vtrXmoARWOEnm6vhv3w
Riptide,ChIJX509taJqjoARs4XocsjbveM
WipeOut,ChIJjSLPy6JqjoAR1_C7laU_Cd0
Speed Bumps,ChIJ0X1KMZhqjoARzOj51d7SqIk
Panoramic Wheel,chijoa_mfpmdjoarsmaogtdvylm
Sky Trail Monorail,ChIJ2bKLZQXjkYARuFSyDP_8bjI
Balloon Flight,ChIJN9p8hgfikYARSEgDErWO1lc
Boomers! San Diego,ChIJqYqjOoT_24ARso1szAIUklQ
Romp-o-Rama,ChIJXWK3KyzP3IARrnopMJOW1zQ
Legacy Escape Rooms,ChIJvbUeW4ff3IARtBBlyoahCf8
JUMPER'S JUNGLE FAMILY FUN CENTER,ChIJg_LH2SIz3YARJeAVQTj4uaY
Pump It Up,ChIJY-JAubdC6oARegvyQ_8DmxY
The VOID Santa Monica,chijc3l1ws2lwoartoxdv04sbiw
King's Carousel,ChIJ252i8X7e3IARV9kwnXXr2dQ
Coastersaurus,ChIJD-XZIh1z3IARePATzfTy1gM
AQUAZONE Wave Racer,ChIJT0nKyRxz3IARcajVU4zzD0I
LEGO Ninjago: The Ride,ChIJ_28bcEdz3IARUrjSYsiOr8o
Wishtoyo Chumash Village,ChIJ0QpBIqM96IARKxOU6M9xZdM
Sea Serpent,ChIJOTc_xqJqjoAR0J-MZZ0y_J0
Pirate Ship,ChIJN7t1zZlqjoARew4x6tD3Wpg
Timber Twister Coaster,ChIJkX6oDb3jkYAR5Ut7Hv39yoQ
Banana Split,ChIJh8iiCgfikYARdIqPtgfBcjo
Haunted Castle,ChIJDyLcGZhqjoARcQcYszxOuvE
Quicksilver Express Mine Coaster,chij_-ptddodjoar8hiw8-cbhlw
Strawberry Sundae,chijk5igcgljkyars8vukpqsx7w
McHenry Bowl,ChIJ20SIdS5RkIAR2o1e7VUl2uQ
Extreme laser tag,ChIJZY_H5HRdlIAR0sz2OKqEAYw
Boomers! Fresno,ChIJYa3etqlClIARap9wesKZVPQ
Battle for Metropolis,ChIJL3hu6Z-BwoARhFAqJHCUiec
Grand American Carousel,ChIJGz17by2BwoARuMT-TJt-u5A
Whistlestop Train,ChIJc73ZJ6eAwoARlsExgQaeLcw
Tweety's Escape,ChIJBQDJ3qaAwoAR8BII98pab5k
Jammin' Bumpers,ChIJv-i-pwuBwoARxYp6-FbRipQ
Scrambler,ChIJo1TKGseBwoARhURTTk9WDy0
Buccaneer,ChIJy7L_MqGAwoAR0ITMEU3u6cs
Speedy Gonzales Hot Rod Racers,ChIJ0Q1qxaaAwoAREsQ1iCxiyFg
Pepe Le Pew's Tea Party,ChIJdfYpYe-BwoAR64dVKVD3wns
Rancho Baseball Llc,ChIJbxPtZAlKw4ARzhsMe4n2pXY
Gilroy Gardens,chijz5cv3_gdjoar-cyqnasdlv0
Cargo Ace,ChIJhR14sRxz3IAR06Jo2s7FWgA
Riptide Rescue,ChIJgWCf5mWr3oARC9SfwODXoHk
Bionicle Blaster,ChIJAfO9sBxz3IARTKZhyjW1iSw
Sea Dragon Drop,ChIJSSWFohyr3oARaxN1VVRzO8E
Bayside Skyride,ChIJBTcqPWSq3oARHAtuWvf_w8Q
Emperor,ChIJ61EZeImr3oARg1fRoBEepuQ
Abby's Sea Star Spin,ChIJ68g5Zler3oARxcUmjUs9G_8
Lego Technic Coaster,ChIJla-NpRxz3IARo0E_Qg_HBe0
Aqua Scout,ChIJe0c5BqWr3oARw-7IUglMDs4
Electric Eel,ChIJYY_5-XWr3oARTwlOftEOQfs
Sky Ropes,chijh9rm6w6q3oarr9gcelnc9a0
LazerTag Extreme,ChIJR4Hma-JJ6IAROyKp_VoQa4g
Zabriskie Point,ChIJVwHy1hE-x4ARoBmpQshF1VE
Revolution,ChIJ4_5dINAfm4ARl2T6RQCZ01w
