name,place_id
Residencia de Ancianos Palacios,ChIJlYCjUjAaQg0RouT6gH9ZgHI
FARMACIA CLARISAS,ChIJK1C7ZC0aQg0RrnpvnJPW9pE
Clinica dental de Carlos ( Dentistas en Ciempozuelos ),chijkym2ptiaqg0resku8nvxfyq
Dental Company Ciempozuelos,ChIJgZfp8DEaQg0RgdSZ6rU89vE
Clínica Dental Suárez,ChIJGaSKfC0aQg0RWhwv0GsJEJo
Opticas Madrid XXI,ChIJ_5kafjIaQg0Rixo9UMJyKcs
Clínica Dental Mar de Sonrisas,ChIJB5js8DIaQg0Rzpwpry2yBzg
TAROT María Lorente Tarotista Privada,ChIJq8Ou9zEaQg0RQZzc931kRR0
Nuit Defemme Manresa,ChIJqbzeUw9ZpBIRhWNVMpOOIh0
BelleSensacions,chijj494pbxzpbir42mikirsx00
Francesc Perruquers,ChIJ40VT4whYpBIRqQSOLOTbyK0
Bamboo Nail Salon,ChIJeTaSd8P3pBIR_tIS5KpR_ns
Essa E Salut I Estètica,ChIJqRu48whYpBIRuQKE4O8BcLQ
Mesk Estètica,ChIJQ7FGQwVYpBIRtFA_kWDW184
Mayka Institut Estètica Avançada,ChIJSZPZrg1YpBIRWTkJODdcKu8
NESSA hair beauty & art,ChIJN6KYVaNZpBIRMmKEwx0Kv88
Estetica Due,chijrtb6q3nypbiran5ifji_cjg
perruqueria beauty salon,ChIJWatm1HtZpBIRuZMWPWLzlYY
Tarannà Cosmètica Natural 🌿,ChIJM-n6BHNYpBIRSgBipKZYVpM
Chic Nail Estética,ChIJW_qMSG1YpBIRhRH5wUnEGsM
Clarel,ChIJlfs0BA9YpBIRUwyFST3hmyA
Clarel,ChIJT9-g9xFYpBIRdVEv4S6__4k
Carol Bruguera,ChIJ1-1nrAxYpBIRucq13IYFy-g
STK Perruquers,ChIJS6seTwxYpBIRcp3wI6I2gGg
Arathi beauty concept,ChIJ90Q5QwtYpBIRNSD154RT0WU
Fibras Capilares K-Max España,ChIJK5gIagtYpBIRQYN_f7FskKg
XL Perruquers,ChIJu4jJFw1YpBIRoS3FuHEQuxo
Perfumería Gotta Manresa,ChIJ1zwc719ZpBIR0lXwySmmo78
Ramón Perruquers,ChIJURgx8AtYpBIRZYxEghv3a3s
Comercial Montserrat Central,chijvbpls7xzpbir_iv2hsltrwu
TaniaNails y LashbyOksi,ChIJc7GzYTRZpBIRQBbz0Kaofms
KIKO Milano,ChIJd-FiGQ1YpBIR5sAAjU9PfBw
Caprabo,ChIJn6JrtR9ZpBIRyELpZVMuXnM
El Gínjol,ChIJVTClT_BZpBIRzB6au_daY2Q
Gilgo Perfumerías,ChIJPafDJxtZpBIRg1NhceBmqXM
Centro Comercial Carrefour Manresa,ChIJbXXkyTL3pBIRdQx_je1c4z4
Nutricare Manresa,ChIJW-cLXBNYpBIRq3_pn_3EbME
Quiropràctic Vertebral - Manresa,ChIJbYCv55-ipBIRAKdjsFhJqhM
biopompas manresa,ChIJIUkQJKdZpBIR-xwz0XGaKS4
Farmàcia Nogueras,ChIJSaLf3OH3pBIRieK5VK7Pkeo
Centre Quiropràctic Manresa,ChIJlYpeH3NYpBIRqERbKJ4ApwQ
Farmàcia Ros de Núria Ros Simats,ChIJ94zI2gtYpBIRHimL6aQ8ya0
Farmàcia Grau Vilalta,ChIJXenxEgtYpBIRj0QpR3w0AoE
Bufetmedic Manresa,ChIJZ4QZzxJYpBIRpNDHvY6x0ZU
ROOM 5 Crossfit Manresa,ChIJmZbC-whYpBIRFpJcqmjGPMg
Centre Hospitalari de Manresa - Fundació Althaia,ChIJa6Kkcw9YpBIRGeUMruvOo_w
Basic Factory Manresa,ChIJKY-5mw1ZpBIRBOP3cP0vsN0
ESTUDI DE IOGA,ChIJTUAOzwdYpBIRghWYBV3RYQY
Fisioclub Manresa,ChIJr75YGg1YpBIR5qsXv7ZT7uo
Dexeus Dona Manresa,ChIJ-6veJuL3pBIR0bvTyTO9lqM
Dental Plaça Catalunya,ChIJW_u7oBNYpBIROrGioEcsvGY
Aquí Psicologia - Manresa,chija8r-4vfzpbirtg9lqranhnq
Escola 1 Somni,ChIJwfryLt73pBIRTSlgg6BIkko
Clínica Dental Vitaldent,ChIJi6f1xQtYpBIR0UX7t_V3Gls
Mugendo Manresa,ChIJt2d0DxBZpBIRTzHbWIo-GxI
Centre Mèdic Manresa i Comarca,ChIJQ6MSFglYpBIRuoXL_dF1POY
Policlínica Manresa,ChIJ_ymbLeL3pBIRnQW1_vKMKJ0
Sport Fitness Nutrition Manresa,ChIJ6aGSBAtYpBIRYsFvfGJEE5c
Dr. Joan Maria Viñals Viñals,ChIJO1frY9_3pBIRjVMpE-QTkxI
Clínica Dental Adeslas,ChIJ1-1nrAxYpBIRJYc5I1EhvGk
Institut Urologic de la Catalunya Central / Dr Castañeda / Dr Malet / Dr Bosch,chijk7zi2gtypbirgo7ofl9vq0y
Mutua Intercomarcal Manresa,ChIJT_wPCA9YpBIRshwaWjPcRAY
Col·legi de Metges de Barcelona - Delegació del Bages,ChIJlR5H9Q1YpBIRV2H7FkkNHYA
Mutua Universal Manresa,ChIJXSaYXg1YpBIRzHsP-hP0bPE
ÒPTICA HOSPITALÀRIA MANRESA,ChIJLeV-qA1YpBIRetwRb3s0_9Y
Dentix Manresa,chijdzj-33jypbir0kxlc7r_f4e
Perfumeria Júlia,ChIJg7Y7-eqSpBIRyveQ97396RQ
Lidl,ChIJ0UQXkuT3pBIR7XNHsySUCgk
Sandra Magariños Salón de peiteado e beleza,ChIJ_8COjshxLw0RyCAW1XHFYd0
Ángeles Besada Salón de peiteado,ChIJm_HYJyRuLw0RI1HQOFB8dDM
Eco-peluquería Mar y Sol,ChIJdZEY1UBuLw0R0akFBmgbev4
Vinci Esthétique Avancée,ChIJJ31VVr1xLw0R6oES4SHRRC0
Arume Salón de peiteado,ChIJxUK8asZxLw0RmSNkidAAqLc
Duett,ChIJ9QlfyNpxLw0Rd7drVl3ch2Y
Fraterprevención,ChIJ0T6_zLVxLw0Rmqts0ENo5UY
Naturhouse Pontevedra calle Peregrina,ChIJw3721vxxLw0RqwbhlsmTl6k
Clínica Podológica Farmapie,ChIJWR7XvNpxLw0RnkC-CmdUKxc
Ponte en pie,ChIJxWZBWRFxLw0RHuqhjgH6e-Q
CLINICA DEL PIE SANJURJO,ChIJay3IlshxLw0RmMmMmOOMElM
Sama Ashtanga yoga Estudio,ChIJ4Udnl8VxLw0RUceLXPOFGf0
Clinica de Podologia Millán y Vasco (antiguamente clínica: Pedrosa y Millán),ChIJr5GAAv5xLw0R3RZkrBqoJ1I
CEA Centro de Especialidades Audiológicas,ChIJz8Bqx6lxLw0RDKigtTykNgo
Acceda Ortopedia,ChIJgbPW5rdxLw0R_cpwcLM0l30
AXA Oficina Seguros Segurcade 43 Galicia (Pontevedra),ChIJu9vJk8VxLw0REpxS59vHuBs
Norprevencion,ChIJAQAAQC1wLw0Rf9-ksnYxF2c
Ximnasio Budo,ChIJ____T89xLw0REluqRDK2-ao
AXA Oficina Seguros Serpe Asociados de Galicia (Pontevedra),ChIJZ8y13cVxLw0RoIMyVXTbJ7o
Loto Pontevedra,ChIJXTSPbA1xLw0RRf7yng1tF2k
Titanium óptica & Servicios,ChIJKbqJWs9xLw0RL2Qlj3E5oG4
PSICOTÉCNICO San Sebastián - Centro Médico,ChIJA-4Kg8hxLw0R16mEu_RbeD8
"Instituto de Traumatologia Framil, Leis & Castaño",ChIJGaOMgs9xLw0RQ11iMysq61Q
"VisionBaby, Ecografía 4D/5D/8K",ChIJe7a0ccVxLw0Rml3jLXpFHXI
OM Clínica Dental,ChIJD1i1kMVxLw0RuDzkP_L5iCY
Mutua Gallega,ChIJ58Yw-8hxLw0RHdTyWbQNsOw
Clínica Dental Adeslas,ChIJ7TeIoshxLw0RoorWl07zpHw
Gadis,ChIJ5asPG89xLw0REHM12Hvx2Xw
